Cities,Countries,lat,lon,temp,humidity,cloudiness,wind speed,date
Airai,TL,-8.9266,125.4092,21.38,75,72,0.7,1645159650
Vaini,TO,-21.2,-175.2,27.82,73,51,4.65,1645159650
Houston,US,29.7633,-95.3633,6.51,69,100,8.75,1645159194
Ushuaia,AR,-54.8,-68.3,9.81,76,40,7.72,1645159651
Lavrentiya,RU,65.5833,-171.0,-20.7,90,100,6.85,1645159652
Fortuna,US,40.5982,-124.1573,6.63,93,40,0.0,1645159653
Evensk,RU,61.95,159.2333,-13.21,75,100,4.97,1645159653
Lompoc,US,34.6391,-120.4579,9.66,76,0,6.26,1645159654
Nanortalik,GL,60.1432,-45.2371,-8.06,54,100,3.85,1645159654
Oranjestad,AW,12.524,-70.027,25.97,69,20,7.72,1645159435
Neftçala,AZ,39.3742,49.2472,7.78,79,100,2.54,1645159656
San Patricio,US,28.017,-97.5169,9.56,47,3,9.29,1645159657
Damietta,EG,31.4165,31.8133,14.94,73,42,2.39,1645159657
Teya,RU,60.3778,92.6267,-12.15,87,100,2.95,1645159678
Tabou,CI,4.423,-7.3528,25.26,88,89,2.72,1645159678
Paita,PE,-5.0892,-81.1144,22.03,79,93,4.98,1645159679
Ruska Poliana,UA,49.417,31.9201,4.68,75,84,6.78,1645159680
Labuhan,ID,-6.8844,112.2051,27.62,79,82,7.45,1645159680
Rikitea,PF,-23.1203,-134.9692,25.8,71,6,3.08,1645159681
Carnarvon,AU,-24.8667,113.6333,34.04,49,100,4.12,1645159681
Camocim,BR,-2.9022,-40.8411,24.13,89,100,2.14,1645159682
San Quintín,MX,30.4833,-115.95,13.73,72,0,0.76,1645159682
Sakakah,SA,29.9697,40.2064,12.76,30,100,3.6,1645159683
Itoman,JP,26.1247,127.6694,17.01,82,75,10.8,1645159684
Lagoa,PT,39.05,-27.9833,10.06,61,100,9.73,1645159684
Kapaa,US,22.0752,-159.319,22.97,78,0,6.69,1645159685
Marabu,MY,4.4148,114.0089,30.08,74,40,3.09,1645159685
Pauini,BR,-7.7136,-66.9764,21.95,99,87,1.12,1645159686
Matara,LK,5.9485,80.5353,29.37,56,57,2.24,1645159687
Bluff,NZ,-46.6,168.3333,22.11,51,100,7.53,1645159687
Avarua,CK,-21.2078,-159.775,23.03,94,100,4.63,1645159688
Pandan,PH,14.0453,124.1694,28.39,72,91,4.69,1645159689
Hilo,US,19.7297,-155.09,22.32,93,40,1.54,1645159686
Clyde River,CA,70.4692,-68.5914,-35.87,68,0,2.06,1645159690
Iranshahr,IR,27.2025,60.6848,15.19,41,0,0.0,1645159691
Chapais,CA,49.7834,-74.8492,-18.12,94,100,3.49,1645159692
Half Moon Bay,US,37.4636,-122.4286,11.46,61,0,4.63,1645159563
Saskylakh,RU,71.9167,114.0833,-29.41,91,62,3.54,1645159693
Bambous Virieux,MU,-20.3428,57.7575,27.14,78,75,7.72,1645159693
Esperance,AU,-33.8667,121.9,26.91,47,0,7.06,1645159694
Dikson,RU,73.5069,80.5464,-24.43,89,75,4.3,1645159694
Del Rio,US,29.3627,-100.8968,9.14,41,0,5.66,1645159695
Alofi,NU,-19.0595,-169.9187,28.94,70,15,4.63,1645159696
Mount Isa,AU,-20.7333,139.5,36.87,23,40,3.09,1645159696
Mar del Plata,AR,-38.0023,-57.5575,17.8,76,40,5.36,1645159697
Paamiut,GL,61.994,-49.6678,-15.58,83,100,2.62,1645159697
Longyearbyen,SJ,78.2186,15.6401,-12.09,67,0,7.2,1645159698
Balakhta,RU,55.38,91.6,-10.08,91,100,4.25,1645159699
Hermanus,ZA,-34.4187,19.2345,18.22,82,5,6.4,1645159699
La Macarena,CO,2.1837,-73.7849,22.89,71,75,0.87,1645159700
Saint-Augustin,CA,51.226,-58.6502,-2.9,86,100,4.59,1645159700
Kushima,JP,31.4583,131.2333,8.02,53,100,5.81,1645159701
Bredasdorp,ZA,-34.5322,20.0403,17.93,78,16,5.57,1645159702
Laguna de Perlas,NI,12.3429,-83.6712,24.21,87,48,4.53,1645159703
Lebu,CL,-37.6167,-73.65,13.48,82,0,7.36,1645159557
Faanui,PF,-16.4833,-151.75,27.07,72,19,4.0,1645159704
Gumi,KR,36.1136,128.336,3.75,23,35,0.22,1645159705
Bethel,US,41.3712,-73.414,11.52,91,100,8.23,1645159705
Kalemie,CD,-5.9475,29.1947,21.1,87,100,1.19,1645159706
Paso de los Toros,UY,-32.8167,-56.5167,17.77,84,0,4.98,1645159707
Oranjemund,NA,-28.55,16.4333,18.3,82,31,2.89,1645159707
New Norfolk,AU,-42.7826,147.0587,17.81,34,34,2.68,1645159708
Taltal,CL,-25.4,-70.4833,19.15,86,36,1.8,1645159709
East London,ZA,-33.0153,27.9116,19.52,88,75,2.06,1645159729
Nikolskoye,RU,59.7035,30.7861,0.46,89,100,6.71,1645159730
Roebourne,AU,-20.7833,117.1333,37.93,31,31,2.7,1645159730
Castro,BR,-24.7911,-50.0119,14.31,98,30,3.22,1645159731
Ryōtsu-minato,JP,38.0833,138.4333,4.98,62,85,5.86,1645159732
Urusha,RU,54.05,122.9,-12.67,58,19,1.19,1645159732
Dunedin,NZ,-45.8742,170.5036,21.0,56,34,3.58,1645159733
Menongue,AO,-14.6585,17.691,17.17,97,100,3.11,1645159733
Mana,GF,5.6592,-53.7767,24.39,88,60,3.4,1645159734
Olafsvik,IS,64.8945,-23.7142,-1.53,70,100,4.38,1645159735
Mizdah,LY,31.4451,12.9801,8.86,92,70,3.53,1645159475
Iqaluit,CA,63.7506,-68.5145,-32.95,67,0,5.14,1645159735
Butaritari,KI,3.0707,172.7902,27.73,74,40,9.46,1645159736
Paoua,CF,7.2427,16.4406,20.12,20,97,1.88,1645159737
Ha Tinh,VN,18.3333,105.9,24.98,82,99,1.94,1645159737
Qaanaaq,GL,77.484,-69.3632,-21.32,66,100,2.92,1645159738
Makakilo City,US,21.3469,-158.0858,24.16,64,75,4.63,1645159738
Basco,PH,20.4487,121.9702,23.3,85,91,4.98,1645159739
Port-Gentil,GA,-0.7193,8.7815,27.31,74,96,4.48,1645159740
Puerto Colombia,CO,10.9878,-74.9547,27.05,74,53,11.74,1645159740
São Filipe,CV,14.8961,-24.4956,22.96,66,100,4.46,1645159741
Middelburg,ZA,-25.7751,29.4648,15.84,88,25,3.75,1645159742
Ostrovnoy,RU,68.0531,39.5131,-2.25,96,100,7.85,1645159743
Guasdualito,VE,7.2424,-70.7324,24.89,60,44,1.35,1645159743
Esim,GH,4.8699,-2.2405,25.97,89,75,2.84,1645159744
Iquique,CL,-20.2208,-70.1431,21.02,80,89,1.54,1645159438
Neryungri,RU,56.6709,124.6491,-20.49,90,100,3.69,1645159745
Torbay,CA,47.6666,-52.7314,7.08,87,100,14.92,1645159745
Sal Rei,CV,16.1833,-22.9167,21.31,72,100,7.98,1645159746
Tabuk,PH,17.4189,121.4443,28.2,67,85,2.23,1645159747
Marsabit,KE,2.3284,37.9899,20.18,59,11,5.89,1645159748
Vilhena,BR,-12.7406,-60.1458,20.24,99,100,1.32,1645159748
Atuona,PF,-9.8,-139.0333,26.04,74,6,8.95,1645159459
Salalah,OM,17.0151,54.0924,21.05,60,0,2.06,1645159749
Guerrero Negro,MX,27.9769,-114.0611,16.37,48,0,0.92,1645159576
Altamont,US,42.2068,-121.7372,2.71,57,0,0.45,1645159675
Saint George,US,37.1041,-113.5841,7.29,30,0,2.06,1645159751
Thinadhoo,MV,0.5333,72.9333,27.88,67,100,4.53,1645159752
Homer,US,59.6425,-151.5483,5.64,76,100,4.92,1645159753
Springdale,US,36.1867,-94.1288,-7.07,80,0,7.6,1645159664
Saint-Philippe,RE,-21.3585,55.7679,27.79,77,82,6.18,1645159754
Ancud,CL,-41.8697,-73.8203,9.74,82,0,1.02,1645159754
Adrar,MR,20.5022,-10.0711,15.62,9,99,4.68,1645159755
Alyangula,AU,-13.8483,136.4192,28.93,94,100,2.57,1645159755
Suntar,RU,62.1444,117.6319,-23.63,90,97,1.3,1645159756
La Rioja,ES,42.25,-2.5,-1.12,61,4,2.89,1645159576
Madimba,TZ,-10.4,40.3333,25.65,76,86,1.36,1645159757
Thohoyandou,ZA,-22.9456,30.485,19.56,89,98,2.68,1645159758
Tauá,BR,-5.9667,-40.3,22.84,77,97,1.73,1645159758
Melfi,IT,40.9965,15.6514,3.61,90,50,2.96,1645159759
Fort Beaufort,ZA,-32.7748,26.6338,15.41,86,0,0.55,1645159779
Choluteca,HN,13.3005,-87.1846,26.17,58,95,1.15,1645159780
Thompson,CA,55.7435,-97.8558,-28.91,76,20,0.0,1645159781
Yerbogachën,RU,61.2767,108.0108,-18.24,91,98,2.07,1645159781
Margate,GB,51.3813,1.3862,9.02,90,100,4.02,1645159782
Upernavik,GL,72.7868,-56.1549,-33.19,99,97,2.28,1645159783
Jamestown,US,42.097,-79.2353,-0.36,72,100,8.23,1645159783
Port Hope,US,43.9408,-82.7127,-5.83,93,100,9.26,1645159667
Tessalit,ML,20.1986,1.0114,18.85,18,100,1.79,1645159784
Garsten,AT,47.9987,14.4035,6.73,78,96,6.42,1645159785
Nelson Bay,AU,-32.7167,152.15,28.35,61,2,1.34,1645159785
Batemans Bay,AU,-35.7167,150.1833,22.72,79,82,3.99,1645159786
Sørland,NO,67.667,12.6934,0.51,63,100,3.71,1645159787
Plettenberg Bay,ZA,-34.0527,23.3716,17.87,77,0,2.2,1645159787
Kirovskiy,RU,45.0917,133.5136,-7.93,79,100,0.65,1645159788
Tiksi,RU,71.6872,128.8694,-31.89,98,75,1.61,1645159788
Karratha,AU,-20.7377,116.8463,37.69,32,39,3.18,1645159789
Manta,EC,-0.95,-80.7333,25.88,78,75,2.06,1645159789
Smithers,CA,54.7804,-127.1743,6.18,52,75,3.09,1645159790
Yellowknife,CA,62.456,-114.3525,-25.5,82,20,6.69,1645159560
Qui Nhon,VN,13.7667,109.2333,27.01,75,62,2.76,1645159615
Vostok,RU,46.4856,135.8833,-10.18,78,97,3.49,1645159792
Lüderitz,NA,-26.6481,15.1594,21.12,73,37,4.95,1645159793
Kurtalan,TR,37.9272,41.7028,4.12,59,100,0.75,1645159793
Touros,BR,-5.1989,-35.4608,25.5,77,19,3.3,1645159791
Husavik,IS,66.0449,-17.3389,-4.05,88,96,2.25,1645159794
Olinda,BR,-8.0089,-34.8553,24.85,88,40,1.03,1645159795
Tishchenskoye,RU,45.4606,41.6738,0.99,69,77,2.55,1645159795
Aswān,EG,24.0934,32.907,11.61,62,0,2.06,1645159796
Kavieng,PG,-2.5744,150.7967,28.65,75,88,3.94,1645159796
Susanino,RU,58.1461,41.5872,0.8,97,100,7.65,1645159797
Port Elizabeth,ZA,-33.918,25.5701,13.16,100,0,1.54,1645159798
Kloulklubed,PW,7.0419,134.2556,28.28,80,100,7.82,1645159747
Altay,CN,47.8667,88.1167,-14.0,57,13,0.89,1645159799
Fort Nelson,CA,58.8053,-122.7002,-19.23,71,100,3.09,1645159800
Inta,RU,66.0317,60.1659,-6.58,84,100,4.07,1645159800
Okhotsk,RU,59.3833,143.3,-12.94,77,83,3.94,1645159801
Ponta do Sol,PT,32.6667,-17.1,14.99,55,44,1.49,1645159802
Hue,VN,16.4667,107.6,29.06,74,40,4.12,1645159524
Youghal,IE,51.95,-7.8506,6.9,90,91,14.03,1645159803
Kirove,UA,47.6531,35.6951,5.46,84,100,6.09,1645159804
Varkala,IN,8.7341,76.7067,29.88,44,33,1.17,1645159805
Hithadhoo,MV,-0.6,73.0833,28.01,68,92,6.25,1645159806
La Asuncion,VE,11.0333,-63.8628,23.81,83,26,5.98,1645159806
Arman',RU,59.7,150.1667,-15.82,76,21,4.45,1645159807
Key West,US,24.5557,-81.7826,24.04,87,75,6.17,1645159520
Mallow,IE,52.1333,-8.6333,6.94,84,80,7.67,1645159808
Ballina,AU,-28.8667,153.5667,29.57,61,1,6.69,1645159809
Marsá Maţrūḩ,EG,31.3525,27.2453,11.11,82,40,2.06,1645159810
Sitka,US,57.0531,-135.33,3.94,87,100,3.09,1645159605
Haradok,BY,55.4624,29.9816,0.69,82,99,6.1,1645159831
Matamoros,MX,25.5333,-103.25,16.32,27,50,4.47,1645159831
Nouadhibou,MR,20.931,-17.0347,19.99,17,100,5.66,1645159832
Shurugwi,ZW,-19.6702,30.0059,15.02,94,88,4.41,1645159833
Beatrice,US,40.2681,-96.747,-8.5,41,0,3.09,1645159833
Hobyo,SO,5.3505,48.5268,25.45,65,42,8.43,1645159834
Souillac,MU,-20.5167,57.5167,27.21,78,75,7.72,1645159834
Alice Springs,AU,-23.7,133.8833,29.75,32,0,6.69,1645159835
Foam Lake,CA,51.65,-103.5343,-15.99,97,100,2.67,1645159664
Avigliana,IT,45.0771,7.3986,9.1,36,0,2.0,1645159836
Tiznit Province,MA,29.5833,-9.5,14.18,29,100,2.02,1645159836
Dzhebariki-Khaya,RU,62.2167,135.8,-25.32,88,61,0.3,1645159837
Hofn,IS,64.2539,-15.2082,-1.85,71,94,7.69,1645159838
Sunds,DK,56.2042,9.0127,3.39,75,49,5.66,1645159838
Kadhan,PK,24.481,68.9859,25.58,24,0,4.17,1645159839
Mnogovershinnyy,RU,53.9353,139.9242,-12.85,88,100,3.16,1645159839
Barrow,US,71.2906,-156.7887,-25.99,76,100,0.0,1645159840
Yining,CN,29.0361,114.5636,2.7,99,100,0.84,1645159840
Fairbanks,US,64.8378,-147.7164,-12.07,76,100,3.6,1645159629
Ibiporã,BR,-23.2692,-51.0481,20.4,94,0,2.06,1645159841
Pangnirtung,CA,66.1451,-65.7125,-28.29,97,99,1.2,1645159842
Cabedelo,BR,-6.9811,-34.8339,25.37,72,9,2.55,1645159843
Geraldton,AU,-28.7667,114.6,39.23,7,43,5.66,1645159843
Calvinia,ZA,-31.4707,19.776,22.94,52,16,0.93,1645159844
Innisfail,AU,-17.5333,146.0333,34.01,87,92,3.92,1645159844
Aksarayskiy,RU,46.7924,48.0119,-1.03,77,18,5.26,1645159845
Roald,NO,62.5833,6.1333,1.89,87,40,5.14,1645159845
Nome,US,64.5011,-165.4064,-11.96,48,75,11.32,1645159794
Chokurdakh,RU,70.6333,147.9167,-34.14,100,13,0.87,1645159846
Florestópolis,BR,-22.8633,-51.3872,20.23,90,95,2.85,1645159847
Morehead,US,37.2711,-87.1764,-0.64,81,100,6.69,1645159848
Guápiles,CR,10.2159,-83.7866,24.01,88,100,1.59,1645159848
Avera,US,33.194,-82.5271,21.57,81,81,9.12,1645159849
Sechura,PE,-5.5569,-80.8222,22.23,77,85,4.34,1645159843
Tual,ID,-5.6667,132.75,28.43,72,94,2.55,1645159850
Quatre Cocos,MU,-20.2078,57.7625,27.83,78,100,9.43,1645159850
Acaraú,BR,-2.8856,-40.12,24.64,84,86,2.53,1645159851
El Alto,PE,-4.2714,-81.2147,21.29,77,100,5.29,1645159852
Mossamedes,AO,-15.1961,12.1522,24.56,80,99,1.37,1645159831
Palmer,US,42.1584,-72.3287,12.6,85,100,10.8,1645159832
Maţāy,EG,28.419,30.7792,9.98,80,68,2.85,1645159853
Sinnamary,GF,5.3833,-52.95,24.99,84,100,4.77,1645159854
Lékoni,GA,-1.5843,14.2591,23.45,81,97,2.15,1645159854
George Town,MY,5.4112,100.3354,31.57,67,20,4.12,1645159732
Kieta,PG,-6.2167,155.6333,29.36,71,17,2.68,1645159855
Zhangaözen,KZ,43.3,52.8,1.55,41,100,7.4,1645159856
Wajid,SO,3.8093,43.2471,25.42,53,1,6.92,1645159856
Kaitangata,NZ,-46.2817,169.8464,19.96,64,55,1.09,1645159857
Porto Santo,PT,33.072,-16.3415,16.21,63,75,3.6,1645159857
Ocós,GT,14.5094,-92.1933,24.94,69,0,3.89,1645159858
Ust'-Tarka,RU,55.5672,75.705,-8.02,92,100,4.68,1645159879
Mumford,GH,5.2618,-0.759,26.14,89,100,4.6,1645159879
Murgab,TM,37.4966,61.9714,5.98,33,2,4.1,1645159880
Manado,ID,1.487,124.8455,28.43,83,40,2.06,1645159881
Puqi,CN,29.7167,113.8833,2.58,99,100,2.39,1645159881
Tuatapere,NZ,-46.1333,167.6833,22.12,49,100,5.29,1645159882
Rock Sound,BS,24.9,-76.2,24.04,86,1,8.12,1645159883
Nadym,RU,65.5333,72.5167,-3.45,94,100,5.52,1645159883
Port Macquarie,AU,-31.4333,152.9167,29.38,63,14,3.69,1645159665
High Level,CA,58.5169,-117.136,-21.94,77,40,4.63,1645159884
Bubaque,GW,11.2833,-15.8333,25.07,71,3,2.56,1645159743
Entre Rios,BR,-11.9419,-38.0844,21.9,90,86,0.92,1645159885
Lake Shasta,US,40.6804,-122.3708,9.97,43,14,1.75,1645159886
Solnechnyy,RU,50.7214,136.6319,-10.84,87,94,1.46,1645159886
Abhā,SA,18.2164,42.5053,11.14,87,0,2.57,1645159887
Kasane,BW,-17.8167,25.15,18.4,85,41,1.8,1645159888
Umluj,SA,25.0213,37.2685,20.4,58,100,1.38,1645159794
Kapoeta,SS,4.7717,33.5903,28.34,21,87,1.25,1645159889
Soto la Marina,MX,23.7667,-98.2167,19.32,80,0,2.03,1645159889
Libenge,CD,3.65,18.6333,21.36,65,9,1.04,1645159890
Kahului,US,20.8947,-156.47,23.51,83,40,6.17,1645159738
Mackay,AU,-21.15,149.2,28.99,74,100,7.72,1645159891
Los Llanos de Aridane,ES,28.6585,-17.9182,13.4,61,75,3.13,1645159891
Beyla,GN,8.6833,-8.6333,18.27,48,2,1.7,1645159892
Richards Bay,ZA,-28.783,32.0377,22.0,85,100,2.34,1645159892
Pyshma,RU,56.9523,63.2513,-9.18,86,100,3.63,1645159893
Cherskiy,RU,68.75,161.3,-36.67,99,49,1.0,1645159894
Sydney,AU,-33.8679,151.2073,28.46,70,20,6.69,1645159429
Srīvardhan,IN,18.0333,73.0167,26.18,41,2,2.35,1645159895
Cody,US,44.5263,-109.0565,0.08,40,75,4.63,1645159895
Vila Velha,BR,-20.3297,-40.2925,24.41,85,0,2.06,1645159896
Aberdeen,GB,57.1437,-2.0981,0.21,89,100,2.06,1645159658
Dali,CN,25.7,100.1833,15.66,19,0,2.85,1645159897
Hasaki,JP,35.7333,140.8333,10.48,35,24,8.16,1645159897
Pemangkat,ID,1.1667,108.9667,30.33,63,100,3.17,1645159898
Téra,NE,14.0078,0.7531,23.68,14,26,4.35,1645159898
Kurumkan,RU,54.3,110.3,-19.43,89,84,0.65,1645159899
Darhan,MN,49.4867,105.9228,-16.08,80,83,2.2,1645159900
La Peca,PE,-5.6111,-78.435,19.58,89,69,1.14,1645159900
Lawrence,US,38.9717,-95.2353,-14.13,76,0,0.0,1645159821
Baie-Comeau,CA,49.2168,-68.1489,-7.18,79,100,3.09,1645159901
Takoradze,GH,4.8845,-1.7554,25.85,90,100,3.05,1645159902
Nha Trang,VN,12.25,109.1833,29.0,66,99,3.28,1645159902
Lorengau,PG,-2.0226,147.2712,28.84,72,100,1.82,1645159903
kimparana,ML,12.8347,-4.9244,21.92,19,33,3.47,1645159904
Hambantota,LK,6.1241,81.1185,30.19,66,0,4.63,1645159904
Bac Lieu,VN,9.285,105.7244,30.59,60,49,6.46,1645159905
Umeå,SE,63.8284,20.2597,-9.04,86,0,4.12,1645159905
Hong Kong,HK,22.2855,114.1577,17.62,84,100,10.28,1645159689
Veinticinco de Mayo,AR,-35.4323,-60.1727,13.32,88,0,1.34,1645159906
Båtsfjord,NO,70.6345,29.7185,-1.88,67,100,12.35,1645159927
Plácido de Castro,BR,-10.3353,-67.1856,22.45,99,96,1.1,1645159927
Priozyornoye,UA,45.2698,36.3303,8.16,78,100,10.11,1645159928
Ossora,RU,59.2353,163.0719,-15.25,90,99,2.3,1645159929
Znamenskoye,RU,57.1281,73.8282,-5.96,90,100,3.23,1645159929
Manggar,ID,-2.8833,108.2667,25.18,85,100,1.1,1645159930
Baculin,PH,7.4525,126.5842,25.14,91,100,4.02,1645159930
St. George's,GD,12.0564,-61.7485,24.2,81,13,5.8,1645159931
Poronaysk,RU,49.2167,143.1167,-5.92,66,58,4.76,1645159932
Srednekolymsk,RU,67.45,153.6833,-31.98,99,100,1.45,1645159928
Broome,US,42.2506,-75.833,11.71,85,100,9.26,1645159774
Taitung City,TW,22.7583,121.1444,25.15,69,75,3.6,1645159934
Henties Bay,NA,-22.116,14.2845,21.03,88,73,2.84,1645159934
Besleney,RU,44.2405,41.7387,-0.42,72,100,3.06,1645159935
Naze,JP,28.3667,129.4833,11.51,87,100,10.14,1645159935
Taunggyi,MM,20.7833,97.0333,25.44,28,9,4.08,1645159936
Krasnosel'kup,RU,65.7,82.4667,-12.43,94,100,7.15,1645159645
Muisne,EC,0.6,-80.0333,24.64,87,98,2.21,1645159937
Luanda,AO,-8.8368,13.2343,25.0,83,75,1.54,1645159804
Zhigansk,RU,66.7697,123.3711,-27.09,95,98,0.66,1645159938
Vardø,NO,70.3705,31.1107,-1.89,63,100,14.48,1645159938
Pevek,RU,69.7008,170.3133,-34.26,98,100,1.51,1645159709
Navolato,MX,24.7672,-107.6944,17.29,70,100,3.22,1645159940
Sirte,LY,31.2089,16.5887,13.25,67,0,5.7,1645159940
Hudiksvall,SE,61.729,17.1036,-9.08,86,33,3.17,1645159941
Klaksvík,FO,62.2266,-6.589,0.51,71,89,10.49,1645159942
Namatanai,PG,-3.6667,152.4333,29.23,67,89,3.69,1645159927
Safidon,IN,29.4167,76.6667,19.73,40,0,1.36,1645159943
Pestravka,RU,52.405,49.9583,-5.07,86,83,6.11,1645159943
Baiyin,CN,36.5583,104.2081,-7.51,70,100,4.89,1645159944
Lukulu,ZM,-14.3707,23.242,18.59,96,100,1.76,1645159944
Bud,US,39.447,-86.1758,-3.2,89,100,7.33,1645159945
Verkhoyansk,RU,67.5447,133.385,-31.46,94,96,0.4,1645159946
Huarmey,PE,-10.0681,-78.1522,21.84,85,100,2.23,1645159946
Chui,UY,-33.6971,-53.4616,20.39,81,52,3.68,1645159766
Muzhi,RU,65.3667,64.6667,-10.58,96,100,2.21,1645159947
Saldanha,ZA,-33.0117,17.9442,18.03,74,22,1.78,1645159853
Flinders,AU,-34.5833,150.8552,25.61,71,4,6.69,1645159948
Kyren,RU,51.6828,102.1408,-12.96,74,34,0.31,1645159949
Rocha,UY,-34.4833,-54.3333,16.7,83,42,2.68,1645159949
Yulara,AU,-25.2406,130.9889,30.91,25,0,4.12,1645159950
Makurdi,NG,7.7411,8.5121,25.94,51,15,2.19,1645159762
Bandarbeyla,SO,9.4942,50.8122,24.14,63,5,7.83,1645159951
Novopokrovka,UA,49.8425,36.5477,3.21,96,100,4.83,1645159951
Lakatoro,VU,-16.0999,167.4164,29.01,72,100,2.37,1645159952
Tura,IN,25.5198,90.2201,23.41,29,0,1.43,1645159952
Walvis Bay,NA,-22.9575,14.5053,20.53,88,23,2.06,1645159953
Atar,MR,20.5169,-13.0499,19.14,8,100,3.37,1645159954
Lata,PT,40.1629,-8.3327,13.41,97,41,0.35,1645159954
Aklavik,CA,68.2191,-135.0107,-22.54,85,90,2.07,1645159955
Wejherowo,PL,54.6057,18.2356,3.55,96,100,4.92,1645159975
Perth,AU,-31.9333,115.8333,36.04,21,0,4.63,1645159908
Taseyevo,RU,57.2169,94.8978,-8.07,88,100,3.36,1645159977
Dillon,US,34.4166,-79.3712,21.46,82,98,9.78,1645159977
Nauta,PE,-4.5061,-73.5757,21.65,98,86,1.03,1645159978
Kununurra,AU,-15.7667,128.7333,34.99,52,75,2.06,1645159978
Zeya,RU,53.75,127.2667,-11.83,59,17,1.27,1645159979
Al Bardīyah,LY,31.7561,25.0865,11.45,74,73,1.04,1645159980
Port Hardy,CA,50.6996,-127.4199,6.1,93,100,1.54,1645159881
Emerald,AU,-23.5333,148.1667,36.08,32,8,3.6,1645159981
Coquimbo,CL,-29.9533,-71.3436,17.85,88,0,1.03,1645159192
Korla,CN,41.7597,86.1469,-1.98,31,46,3.07,1645159982
Constitución,CL,-35.3333,-72.4167,14.03,69,0,5.44,1645159815
Opuwo,NA,-18.0607,13.84,20.27,84,100,0.56,1645159983
Launceston,AU,-41.45,147.1667,21.5,33,40,6.17,1645159770
Marawi,PH,7.9986,124.2928,23.14,58,99,3.64,1645159984
Wanxian,CN,30.8039,108.3897,11.86,55,94,2.86,1645159984
Semeykino,UA,48.3264,39.5337,2.92,78,87,8.53,1645159985
Matata,NZ,-37.8833,176.75,22.84,64,20,3.2,1645159986
Havre-St-Pierre,CA,50.2334,-63.5986,-2.95,93,100,5.14,1645159987
Yangi Marg`ilon,UZ,40.4272,71.7189,4.39,56,67,1.03,1645159987
Arrifes,PT,37.7667,-25.7,9.14,62,75,6.17,1645159988
Alakurtti,RU,66.9672,30.3491,-4.09,93,100,6.04,1645159988
Belyy Yar,RU,53.6039,91.3903,-13.06,72,100,1.0,1645159989
Oriximiná,BR,-1.7656,-55.8661,23.39,95,100,0.46,1645159990
Mount Gambier,AU,-37.8333,140.7667,20.95,43,100,8.23,1645159805
Kushiro,JP,42.975,144.3747,-1.47,54,75,6.69,1645159990
